row ID,price_doc
1,7608412.718529704
2,8639132.234323919
3,7349516.905696526
4,9257570.200144552
5,8195515.891725535
6,8587706.708397342
7,6497764.325842874
8,7522516.720189987
9,7572135.208253319
10,10309426.877628772
11,51683668.019658566
12,6719224.231112394
13,51441324.78031975
14,47866985.79854657
15,9027038.71080299
16,26611159.742970496
17,8897493.251406495
18,5778158.543449701
19,7377938.945385968
20,6436899.688590849
21,6577806.919667264
22,6508093.326041577
23,45175552.909271814
24,7630356.699446415
25,6722815.981599704
26,6183701.789411036
27,6474260.120980974
28,8474894.332913233
29,6403799.815194965
30,8857168.36755731
31,8265964.572183532
32,6589551.712180144
33,6714308.060129838
34,6342034.690530951
35,5461303.294212827
36,8121512.219555628
37,6683424.828537393
38,7835366.191525876
39,28422713.039847564
40,7772446.292223486
41,7741664.573199052
42,7088016.493795945
43,5820292.397764277
44,41315463.7442928
45,13926026.445496
46,7422454.5302794
47,6502642.243542796
48,8304338.241633188
49,6147868.241482441
50,7973786.035539269
51,7311245.023892733
52,7422454.5302794
53,35035159.43761149
54,7759058.629833987
55,6496502.7872379515
56,53388447.86639068
57,7894749.882229769
58,8735409.802671347
59,8080270.772870038
60,5857308.306629404
61,60019062.07196609
62,33363589.165559053
63,6574122.179587755
64,68094458.50739475
65,6588139.304281545
66,6511846.481756612
67,6204249.169432305
68,8286475.616644103
69,14798313.281346679
70,6046108.6885071425
71,8608073.700479563
72,5281293.048386341
73,10335164.814141471
74,7357237.036761245
75,32074625.05000817
76,5730325.927027481
77,5660209.739318536
78,6881725.229373853
79,38584307.14480526
80,6896808.714444403
81,6922680.908685468
82,8512578.173687551
83,8930182.704868082
84,6100897.970562179
85,6669822.872285239
86,7161767.829486086
87,27492559.630677868
88,14435989.15495622
89,12822060.48588714
90,7946672.084206594
91,17387644.45417805
92,8402909.740350192
93,8402660.827439021
94,55044290.90809502
95,12726526.058584023
96,8785606.537014535
97,36069128.691510804
98,5820292.397764277
99,9843986.086541759
100,9562078.213198591
101,15160132.315798348
102,43288945.850752
103,7382372.926802873
104,9195694.5039931
105,7019457.371993987
106,6504684.5977218645
107,24785442.939974494
108,8054940.865238752
109,26678633.906810995
110,9271635.928142456
111,6664422.569491049
112,55730618.71304152
113,57447903.71943302
114,6273732.505403531
115,6273732.505403531
116,6691281.678084394
117,6273732.505403531
118,4774869.924831332
119,10260614.317204885
120,8702000.553101687
121,66156440.224318
122,6535478.924156312
123,63343875.447597794
124,67579591.40922773
125,6528648.347816005
126,59545562.11863648
127,21008509.913848694
128,8226853.358422622
129,13467764.590671701
130,9494807.080090575
131,6759341.9522647085
132,54935884.68059961
133,5957515.816174347
134,6619351.9187656045
135,10850975.438515453
136,7100750.214449763
137,6502642.243542796
138,7178083.496699293
139,8592151.885476965
140,19252442.999870412
141,6631814.863128218
142,6271279.252417409
143,7642946.8879606705
144,5851873.335033414
145,7134039.9610793255
146,8585719.497558067
147,54628394.072757356
148,8152190.943537809
149,6656245.138633407
150,7937018.964334033
151,68404151.51772182
152,78878984.18705158
153,32242849.57693693
154,51295527.87781692
155,15134123.823743852
156,10600898.886408525
157,4912139.229401833
158,7630356.699446415
159,8264135.5520117665
160,8389284.246366803
161,69298534.88118577
162,7901492.390657551
163,7519416.063560939
164,6702378.260681286
165,6800618.2858625725
166,35719788.09313116
167,38668694.417358615
168,5532226.949571988
169,6273732.505403531
170,8250777.535280665
171,7572135.208253319
172,8435293.017684432
173,8939606.566602226
174,7770090.563331013
175,17064648.591901906
176,7225204.147994724
177,6639852.650852632
178,11627951.57254682
179,8878456.348541554
180,8157747.422361303
181,5458983.9966541985
182,7494970.036052675
183,7876755.000075775
184,5540748.874389026
185,6668614.496363282
186,6774259.864522411
187,71693858.51066527
188,8310767.409809523
189,54457576.61798815
190,62144998.99211439
191,6497582.65714038
192,6331013.126303566
193,6273732.505403531
194,7307492.896615123
195,7755284.906364839
196,4425269.5459693065
